Rank,Title,Artist,Year
38,Sober,Pink,2009
39,Womanizer,Britney Spears,2009
40,Whatever You Like,T.I.,2009
41,Obsessed,Mariah Carey,2009
42,Mad,Ne-Yo,2009
43,Good Girls Go Bad,Cobra Starship featuring Leighton Meester,2009
44,Love Lockdown,Kanye West,2009
45,So What,Pink,2009
46,Hotel Room Service,Pitbull,2009
47,Crack a Bottle,"Eminem, Dr. Dre and 50 Cent",2009
48,If I Were a Boy,Beyoncé,2009
49,Turnin Me On,Keri Hilson featuring Lil Wayne,2009
50,I Hate This Part,Pussycat Dolls,2009
51,Gotta Be Somebody,Nickelback,2009
52,Please Don't Leave Me,Pink,2009
53,Paparazzi,Lady Gaga,2009
54,Beautiful,Akon featuring Colby O'Donis and Kardinal Offishall,2009
55,Viva la Vida,Coldplay,2009
56,Right Now (Na Na Na),Akon,2009
57,Battlefield,Jordin Sparks,2009
58,Sugar,Flo Rida featuring Wynter Gordon,2009
59,Miss Independent,Ne-Yo,2009
60,Fireflies,Owl City,2009
61,New Divide,Linkin Park,2009
62,Empire State of Mind,Jay-Z featuring Alicia Keys,2009
63,No Surprise,Daughtry,2009
64,She Wolf,Shakira,2009
65,Break Up,Mario featuring Gucci Mane and Sean Garrett,2009
66,Sweet Dreams,Beyoncé,2009
67,Every Girl,Young Money,2009
68,Fallin' for You,Colbie Caillat,2009
69,Untouched,The Veronicas,2009
70,If Today Was Your Last Day,Nickelback,2009
71,Throw It in the Bag,Fabolous featuring The-Dream,2009
72,Love Drunk,Boys Like Girls,2009
73,I Love College,Asher Roth,2009
74,If U Seek Amy,Britney Spears,2009
75,Big Green Tractor,Jason Aldean,2009
76,White Horse,Taylor Swift,2009
77,Disturbia,Rihanna,2009
78,21 Guns,Green Day,2009
79,Turn My Swag On,Soulja Boy Tell 'Em,2009
80,Rockin' That Thang,The-Dream,2009
81,Chicken Fried,Zac Brown Band,2009
82,Diva,Beyoncé,2009
83,Replay,Iyaz,2009
84,Then,Brad Paisley,2009
85,Her Diamonds,Rob Thomas,2009
86,How Do You Sleep?,Jesse McCartney featuring Ludacris,2009
87,3,Britney Spears,2009
88,Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2009
89,One Time,Justin Bieber,2009
90,I Run to You,Lady Antebellum,2009
91,I Do Not Hook Up,Kelly Clarkson,2009
92,Green Light,John Legend featuring André 3000,2009
93,People Are Crazy,Billy Currington,2009
94,Whatever It Is,Zac Brown Band,2009
95,Already Gone,Kelly Clarkson,2009
96,Goodbye,Kristinia DeBarge,2009
97,Say Hey (I Love You),Michael Franti & Spearhead featuring Cherine Anderson,2009
98,Pop Champagne,Jim Jones featuring Ron Browz and Juelz Santana,2009
99,Pretty Wings,Maxwell,2009
100,Never Say Never,The Fray,2009
1,Tik Tok,Kesha,2010
2,Need You Now,Lady Antebellum,2010
3,"Hey, Soul Sister",Train,2010
4,California Gurls,Katy Perry featuring Snoop Dogg,2010
5,OMG,Usher featuring will.i.am,2010
6,Airplanes,B.o.B featuring Hayley Williams,2010
7,Love the Way You Lie,Eminem featuring Rihanna,2010
8,Bad Romance,Lady Gaga,2010
9,Dynamite,Taio Cruz,2010
10,Break Your Heart,Taio Cruz featuring Ludacris,2010
11,Nothin' on You,B.o.B featuring Bruno Mars,2010
12,I Like It,Enrique Iglesias featuring Pitbull,2010
13,BedRock,Young Money featuring Lloyd,2010
14,In My Head,Jason Derulo,2010
15,Rude Boy,Rihanna,2010
16,Telephone,Lady Gaga featuring Beyoncé,2010
17,Teenage Dream,Katy Perry,2010
18,Just the Way You Are,Bruno Mars,2010
19,Cooler Than Me,Mike Posner,2010
20,Imma Be,The Black Eyed Peas,2010
21,Empire State of Mind,Jay-Z featuring Alicia Keys,2010
22,DJ Got Us Fallin' in Love,Usher featuring Pitbull,2010
23,Billionaire,Travie McCoy featuring Bruno Mars,2010
24,Not Afraid,Eminem,2010
25,Replay,Iyaz,2010
26,Sexy Bitch,David Guetta featuring Akon,2010
27,Breakeven,The Script,2010
28,Your Love Is My Drug,Kesha,2010
29,I Gotta Feeling,The Black Eyed Peas,2010
30,Fireflies,Owl City,2010
31,Say Aah,Trey Songz featuring Fabolous,2010
32,Find Your Love,Drake,2010
33,Alejandro,Lady Gaga,2010
34,Ridin' Solo,Jason Derulo,2010
35,Just a Dream,Nelly,2010
36,How Low,Ludacris,2010
37,Like a G6,Far East Movement featuring The Cataracs and Dev,2010
38,Carry Out,Timbaland featuring Justin Timberlake,2010
39,Haven't Met You Yet,Michael Bublé,2010
40,Club Can't Handle Me,Flo Rida featuring David Guetta,2010
41,Down,Jay Sean featuring Lil Wayne,2010
42,Bulletproof,La Roux,2010
43,Whatcha Say,Jason Derulo,2010
44,Baby,Justin Bieber featuring Ludacris,2010
45,Whataya Want from Me,Adam Lambert,2010
46,Mine,Taylor Swift,2010
47,Only Girl (In the World),Rihanna,2010
48,Live Like We're Dying,Kris Allen,2010
49,Hard,Rihanna featuring Jeezy,2010
50,Young Forever,Jay-Z featuring Mr Hudson,2010
51,Blah Blah Blah,Kesha featuring 3OH!3,2010
52,Bottoms Up,Trey Songz featuring Nicki Minaj,2010
53,Do You Remember,Jay Sean featuring Sean Paul and Lil Jon,2010
54,All the Right Moves,OneRepublic,2010
55,According to You,Orianthi,2010
56,My Chick Bad,Ludacris featuring Nicki Minaj,2010
57,You Belong with Me,Taylor Swift,2010
58,Meet Me Halfway,The Black Eyed Peas,2010
59,Take It Off,Kesha,2010
60,Over,Drake,2010
61,Animal,Neon Trees,2010
62,Misery,Maroon 5,2010
63,Magic,B.o.B featuring Rivers Cuomo,2010
64,Paparazzi,Lady Gaga,2010
65,Tie Me Down,New Boyz featuring Ray J,2010
66,Your Love,Nicki Minaj,2010
67,Party in the U.S.A.,Miley Cyrus,2010
68,Deuces,Chris Brown featuring Tyga and Kevin McCall,2010
69,3,Britney Spears,2010
70,Impossible,Shontelle,2010
71,Forever,"Drake featuring Kanye West, Lil Wayne and Eminem",2010
72,Two Is Better Than One,Boys Like Girls featuring Taylor Swift,2010
73,My First Kiss,3OH!3 featuring Kesha,2010
74,Already Gone,Kelly Clarkson,2010
75,Rock That Body,The Black Eyed Peas,2010
76,Secrets,OneRepublic,2010
77,Naturally,Selena Gomez & the Scene,2010
78,Un-Thinkable (I'm Ready),Alicia Keys,2010
79,All I Do Is Win,"DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",2010
80,I Made It (Cash Money Heroes),"Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",2010
81,Stuck Like Glue,Sugarland,2010
82,Hey Daddy (Daddy's Home),Usher featuring Plies,2010
83,There Goes My Baby,Usher,2010
84,Today Was a Fairytale,Taylor Swift,2010
85,Say Something,Timbaland featuring Drake,2010
86,Sweet Dreams,Beyoncé,2010
87,Use Somebody,Kings of Leon,2010
88,Undo It,Carrie Underwood,2010
89,Eenie Meenie,Sean Kingston and Justin Bieber,2010
90,Right Above It,Lil Wayne featuring Drake,2010
91,The House That Built Me,Miranda Lambert,2010
92,If I Die Young,The Band Perry,2010
93,The Only Exception,Paramore,2010
94,American Honey,Lady Antebellum,2010
95,King of Anything,Sara Bareilles,2010
96,Life After You,Daughtry,2010
97,Smile,Uncle Kracker,2010
98,Teach Me How to Dougie,Cali Swag District,2010
99,Try Sleeping with a Broken Heart,Alicia Keys,2010
100,"Lover, Lover",Jerrod Niemann,2010
1,Rolling in the Deep,Adele,2011
2,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2011
3,Firework,Katy Perry,2011
4,E.T.,Katy Perry featuring Kanye West,2011
5,Give Me Everything,"Pitbull featuring Ne-Yo, Afrojack and Nayer",2011
6,Grenade,Bruno Mars,2011
7,Forget You,CeeLo Green,2011
8,Super Bass,Nicki Minaj,2011
9,Moves like Jagger,Maroon 5 featuring Christina Aguilera,2011
10,Just Can't Get Enough,The Black Eyed Peas,2011
11,On the Floor,Jennifer Lopez featuring Pitbull,2011
12,S&M,Rihanna,2011
13,Pumped Up Kicks,Foster the People,2011
14,Last Friday Night (T.G.I.F.),Katy Perry,2011
15,Just the Way You Are,Bruno Mars,2011
16,Tonight (I'm Lovin' You),Enrique Iglesias featuring Ludacris and DJ Frank E,2011
17,Raise Your Glass,Pink,2011
18,Born This Way,Lady Gaga,2011
19,F**kin' Perfect,Pink,2011
20,What's My Name?,Rihanna featuring Drake,2011
21,Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes,2011
22,Down on Me,Jeremih featuring 50 Cent,2011
23,How to Love,Lil Wayne,2011
24,Someone Like You,Adele,2011
25,Good Life,OneRepublic,2011
26,The Lazy Song,Bruno Mars,2011
27,Till the World Ends,Britney Spears,2011
28,The Show Goes On,Lupe Fiasco,2011
29,The Edge of Glory,Lady Gaga,2011
30,We R Who We R,Kesha,2011
31,Black and Yellow,Wiz Khalifa,2011
32,Tonight Tonight,Hot Chelle Rae,2011
33,Blow,Kesha,2011
34,Lighters,Bad Meets Evil featuring Bruno Mars,2011
35,If I Die Young,The Band Perry,2011
36,Stereo Hearts,Gym Class Heroes featuring Adam Levine,2011
37,The Time (Dirty Bit),The Black Eyed Peas,2011
38,Coming Home,Diddy – Dirty Money featuring Skylar Grey,2011
39,Hey Baby (Drop It to the Floor),Pitbull featuring T-Pain,2011
40,Only Girl (In the World),Rihanna,2011
41,6 Foot 7 Foot,Lil Wayne featuring Cory Gunz,2011
42,Just a Kiss,Lady Antebellum,2011
43,Dirt Road Anthem,Jason Aldean,2011
44,Dynamite,Taio Cruz,2011
45,No Hands,Waka Flocka Flame featuring Wale and Roscoe Dash,2011
46,I Wanna Go,Britney Spears,2011
47,I'm on One,"DJ Khaled featuring Drake, Rick Ross and Lil Wayne",2011
48,You Make Me Feel...,Cobra Starship featuring Sabi,2011
49,Yeah 3x,Chris Brown,2011
50,Moment 4 Life,Nicki Minaj featuring Drake,2011
51,I Need a Doctor,Dr. Dre featuring Eminem and Skylar Grey,2011
52,Just a Dream,Nelly,2011
53,Motivation,Kelly Rowland featuring Lil Wayne,2011
54,Stereo Love,Edward Maya featuring Vika Jigulina,2011
55,Jar of Hearts,Christina Perri,2011
56,Roll Up,Wiz Khalifa,2011
57,Sexy and I Know It,LMFAO,2011
58,Rocketeer,Far East Movement featuring Ryan Tedder,2011
59,All of the Lights,Kanye West featuring Rihanna,2011
60,Hold It Against Me,Britney Spears,2011
61,More,Usher,2011
62,What the Hell,Avril Lavigne,2011
63,Written in the Stars,Tinie Tempah featuring Eric Turner,2011
64,Bottoms Up,Trey Songz featuring Nicki Minaj,2011
65,DJ Got Us Fallin' in Love,Usher featuring Pitbull,2011
66,For the First Time,The Script,2011
67,Honey Bee,Blake Shelton,2011
68,Don't You Wanna Stay,Jason Aldean featuring Kelly Clarkson,2011
69,We Found Love,Rihanna featuring Calvin Harris,2011
70,Pretty Girl Rock,Keri Hilson,2011
71,Yoü and I,Lady Gaga,2011
72,Like a G6,Far East Movement featuring The Cataracs and Dev,2011
73,Without You,David Guetta featuring Usher,2011
74,Back to December,Taylor Swift,2011
75,Teenage Dream,Katy Perry,2011
76,Crazy Girl,Eli Young Band,2011
77,Cheers (Drink to That),Rihanna,2011
78,Who Says,Selena Gomez & the Scene,2011
79,Barefoot Blue Jean Night,Jake Owen,2011
80,Knee Deep,Zac Brown Band featuring Jimmy Buffett,2011
81,Country Girl (Shake It for Me),Luke Bryan,2011
82,Remind Me,Brad Paisley and Carrie Underwood,2011
83,In the Dark,Dev,2011
84,Backseat,New Boyz featuring The Cataracs and Dev,2011
85,Headlines,Drake,2011
86,Best Thing I Never Had,Beyoncé,2011
87,Don't Wanna Go Home,Jason Derulo,2011
88,Where Them Girls At,David Guetta featuring Flo Rida and Nicki Minaj,2011
89,She Ain't You,Chris Brown,2011
90,Take a Back Road,Rodney Atkins,2011
91,Please Don't Go,Mike Posner,2011
92,Sure Thing,Miguel,2011
93,Price Tag,Jessie J featuring B.o.B,2011
94,God Gave Me You,Blake Shelton,2011
95,She Will,Lil Wayne featuring Drake,2011
96,Are You Gonna Kiss Me or Not,Thompson Square,2011
97,Animal,Neon Trees,2011
98,You and Tequila,Kenny Chesney featuring Grace Potter,2011
99,Colder Weather,Zac Brown Band,2011
100,My Last,Big Sean featuring Chris Brown,2011
1,Somebody That I Used to Know,Gotye featuring Kimbra,2012
2,Call Me Maybe,Carly Rae Jepsen,2012
3,We Are Young,Fun featuring Janelle Monáe,2012
4,Payphone,Maroon 5 featuring Wiz Khalifa,2012
5,Lights,Ellie Goulding,2012
6,Glad You Came,The Wanted,2012
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012
8,We Found Love,Rihanna featuring Calvin Harris,2012
9,Starships,Nicki Minaj,2012
10,What Makes You Beautiful,One Direction,2012
11,Wild Ones,Flo Rida featuring Sia,2012
12,Set Fire to the Rain,Adele,2012
13,Sexy and I Know It,LMFAO,2012
14,Some Nights,Fun,2012
15,Wide Awake,Katy Perry,2012
16,Good Feeling,Flo Rida,2012
17,Whistle,Flo Rida,2012
18,One More Night,Maroon 5,2012
19,Drive By,Train,2012
20,The Motto,Drake featuring Lil Wayne,2012
21,Where Have You Been,Rihanna,2012
22,Everybody Talks,Neon Trees,2012
23,Take Care,Drake featuring Rihanna,2012
24,Titanium,David Guetta featuring Sia,2012
25,I Won't Give Up,Jason Mraz,2012
26,It Will Rain,Bruno Mars,2012
27,Mercy,"Kanye West, Big Sean, Pusha T and 2 Chainz",2012
28,Boyfriend,Justin Bieber,2012
29,Party Rock Anthem,LMFAO featuring Lauren Bennett and GoonRock,2012
30,Too Close,Alex Clare,2012
31,Part of Me,Katy Perry,2012
32,"Young, Wild & Free",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,2012
33,We Are Never Ever Getting Back Together,Taylor Swift,2012
34,As Long as You Love Me,Justin Bieber featuring Big Sean,2012
35,Turn Me On,David Guetta featuring Nicki Minaj,2012
36,Moves like Jagger,Maroon 5 featuring Christina Aguilera,2012
37,Blow Me (One Last Kiss),Pink,2012
38,Good Time,Owl City and Carly Rae Jepsen,2012
39,Give Your Heart a Break,Demi Lovato,2012
40,Niggas in Paris,Jay-Z and Kanye West,2012
41,The One That Got Away,Katy Perry,2012
42,Feel So Close,Calvin Harris,2012
43,Someone like You,Adele,2012
44,Scream,Usher,2012
45,Rack City,Tyga,2012
46,Domino,Jessie J,2012
47,Gangnam Style,Psy,2012
48,International Love,Pitbull featuring Chris Brown,2012
49,Home,Phillip Phillips,2012
50,Without You,David Guetta featuring Usher,2012
51,Ass Back Home,Gym Class Heroes featuring Neon Hitch,2012
52,Wanted,Hunter Hayes,2012
53,Drunk on You,Luke Bryan,2012
54,No Lie,2 Chainz featuring Drake,2012
55,Want U Back,Cher Lloyd,2012
56,Don't Wake Me Up,Chris Brown,2012
57,Dance (A$$),Big Sean featuring Nicki Minaj,2012
58,Springsteen,Eric Church,2012
59,Brokenhearted,Karmin,2012
60,Not Over You,Gavin DeGraw,2012
61,Stereo Hearts,Gym Class Heroes featuring Adam Levine,2012
62,Back in Time,Pitbull,2012
63,Work Out,J. Cole,2012
64,Rumour Has It,Adele,2012
65,Let's Go,Calvin Harris featuring Ne-Yo,2012
66,Good Girl,Carrie Underwood,2012
67,Pontoon,Little Big Town,2012
68,Ho Hey,The Lumineers,2012
69,Paradise,Coldplay,2012
70,Blown Away,Carrie Underwood,2012
71,Rolling in the Deep,Adele,2012
72,Climax,Usher,2012
73,"Work Hard, Play Hard",Wiz Khalifa,2012
74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2012
75,Pound the Alarm,Nicki Minaj,2012
76,Come Over,Kenny Chesney,2012
77,Heart Attack,Trey Songz,2012
78,Drank in My Cup,Kirko Bangz,2012
79,Birthday Cake,Rihanna featuring Chris Brown,2012
80,So Good,B.o.B,2012
81,50 Ways to Say Goodbye,Train,2012
82,Red Solo Cup,Toby Keith,2012
83,Love You like a Love Song,Selena Gomez & the Scene,2012
84,Turn Up the Music,Chris Brown,2012
85,Die Young,Kesha,2012
86,5 O'Clock,T-Pain featuring Wiz Khalifa and Lily Allen,2012
87,A Thousand Years,Christina Perri,2012
88,Take a Little Ride,Jason Aldean,2012
89,You da One,Rihanna,2012
90,We Run the Night,Havana Brown featuring Pitbull,2012
91,It's Time,Imagine Dragons,2012
92,Cashin' Out,Cash Out,2012
93,I Don't Want This Night to End,Luke Bryan,2012
94,Diamonds,Rihanna,2012
95,Hard to Love,Lee Brice,2012
96,Somethin' 'Bout a Truck,Kip Moore,2012
97,Adorn,Miguel,2012
98,Fly Over States,Jason Aldean,2012
99,Even If It Breaks Your Heart,Eli Young Band,2012
100,Burn It Down,Linkin Park,2012
1,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2013
2,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2013
3,Radioactive,Imagine Dragons,2013
4,Harlem Shake,Baauer,2013
5,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2013
6,Mirrors,Justin Timberlake,2013
7,Just Give Me a Reason,Pink featuring Nate Ruess,2013
8,When I Was Your Man,Bruno Mars,2013
9,Cruise,Florida Georgia Line featuring Nelly,2013
10,Roar,Katy Perry,2013
11,Locked Out of Heaven,Bruno Mars,2013
12,Ho Hey,The Lumineers,2013
13,Stay,Rihanna featuring Mikky Ekko,2013
14,Get Lucky,Daft Punk featuring Pharrell Williams,2013
15,Royals,Lorde,2013
16,I Knew You Were Trouble,Taylor Swift,2013
17,We Can't Stop,Miley Cyrus,2013
18,Wrecking Ball,Miley Cyrus,2013
19,Wake Me Up,Avicii,2013
20,Suit & Tie,Justin Timberlake featuring Jay-Z,2013
21,Cups (Pitch Perfect's *When I'm Gone*),Anna Kendrick,2013
22,Holy Grail,Jay-Z featuring Justin Timberlake,2013
23,Scream & Shout,will.i.am featuring Britney Spears,2013
24,Clarity,Zedd featuring Foxes,2013
25,Sail,Awolnation,2013
26,Don't You Worry Child,Swedish House Mafia featuring John Martin,2013
27,Diamonds,Rihanna,2013
28,I Love It,Icona Pop featuring Charli XCX,2013
29,Safe and Sound,Capital Cities,2013
30,Treasure,Bruno Mars,2013
31,The Way,Ariana Grande featuring Mac Miller,2013
32,Started from the Bottom,Drake,2013
33,Come & Get It,Selena Gomez,2013
34,"Hold On, We're Going Home",Drake featuring Majid Jordan,2013
35,Daylight,Maroon 5,2013
36,Feel This Moment,Pitbull featuring Christina Aguilera,2013
37,Applause,Lady Gaga,2013
38,One More Night,Maroon 5,2013
39,Love Me,Lil Wayne featuring Drake and Future,2013
40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,2013
41,Fuckin' Problems,"ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",2013
42,Beauty and a Beat,Justin Bieber featuring Nicki Minaj,2013
43,Same Love,Macklemore & Ryan Lewis featuring Mary Lambert,2013
44,Sweet Nothing,Calvin Harris featuring Florence Welch,2013
45,Summertime Sadness,Lana Del Rey and Cédric Gervais,2013
46,Home,Phillip Phillips,2013
47,It's Time,Imagine Dragons,2013
48,Power Trip,J. Cole featuring Miguel,2013
49,Girl on Fire,Alicia Keys featuring Nicki Minaj,2013
50,Heart Attack,Demi Lovato,2013
51,Love Somebody,Maroon 5,2013
52,I Will Wait,Mumford & Sons,2013
53,Try,Pink,2013
54,Wagon Wheel,Darius Rucker,2013
55,Gangnam Style,Psy,2013
56,I Need Your Love,Calvin Harris featuring Ellie Goulding,2013
57,Die Young,Kesha,2013
58,Some Nights,Fun,2013
59,Bad,Wale featuring Tiara Thomas or Rihanna,2013
60,Boys 'Round Here,Blake Shelton featuring Pistol Annies and Friends,2013
61,"Gone, Gone, Gone",Phillip Phillips,2013
62,Demons,Imagine Dragons,2013
63,Counting Stars,OneRepublic,2013
64,I Cry,Flo Rida,2013
65,Little Talks,Of Monsters and Men,2013
66,The Other Side,Jason Derulo,2013
67,Berzerk,Eminem,2013
68,Catch My Breath,Kelly Clarkson,2013
69,Crash My Party,Luke Bryan,2013
70,Pour It Up,Rihanna,2013
71,22,Taylor Swift,2013
72,I Want Crazy,Hunter Hayes,2013
73,The Fox (What Does the Fox Say?),Ylvis,2013
74,Best Song Ever,One Direction,2013
75,The A Team,Ed Sheeran,2013
76,Carry On,Fun,2013
77,Highway Don't Care,Tim McGraw featuring Taylor Swift and Keith Urban,2013
78,That's My Kind of Night,Luke Bryan,2013
79,Swimming Pools (Drank),Kendrick Lamar,2013
80,Sure Be Cool If You Did,Blake Shelton,2013
81,#Beautiful,Mariah Carey featuring Miguel,2013
82,Troublemaker,Olly Murs featuring Flo Rida,2013
83,Body Party,Ciara,2013
84,Adorn,Miguel,2013
85,Hall of Fame,The Script featuring will.i.am,2013
86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2013
87,U.O.E.N.O.,Rocko featuring Future and Rick Ross,2013
88,Next to Me,Emeli Sandé,2013
89,Mama's Broken Heart,Miranda Lambert,2013
90,It Goes Like This,Thomas Rhett,2013
91,Bugatti,Ace Hood featuring Future and Rick Ross,2013
92,Wanted,Hunter Hayes,2013
93,Downtown,Lady Antebellum,2013
94,Get Your Shine On,Florida Georgia Line,2013
95,#thatPower,will.i.am featuring Justin Bieber,2013
96,Brave,Sara Bareilles,2013
97,Let Her Go,Passenger,2013
98,Runnin' Outta Moonlight,Randy Houser,2013
99,I'm Different,2 Chainz,2013
100,Still Into You,Paramore,2013
1,Happy,Pharrell Williams,2014
2,Dark Horse,Katy Perry featuring Juicy J,2014
3,All of Me,John Legend,2014
4,Fancy,Iggy Azalea featuring Charli XCX,2014
5,Counting Stars,OneRepublic,2014
6,Talk Dirty,Jason Derulo featuring 2 Chainz,2014
7,Rude,Magic!,2014
8,All About That Bass,Meghan Trainor,2014
9,Problem,Ariana Grande featuring Iggy Azalea,2014
10,Stay with Me,Sam Smith,2014
11,Timber,Pitbull featuring Kesha,2014
12,Pompeii,Bastille,2014
13,Shake It Off,Taylor Swift,2014
14,Am I Wrong,Nico & Vinz,2014
15,Turn Down for What,DJ Snake and Lil Jon,2014
16,The Monster,Eminem featuring Rihanna,2014
17,Say Something,A Great Big World and Christina Aguilera,2014
18,Team,Lorde,2014
19,Let Her Go,Passenger,2014
20,Royals,Lorde,2014
21,Let It Go,Idina Menzel,2014
22,Wake Me Up,Avicii,2014
23,Demons,Imagine Dragons,2014
24,Story of My Life,One Direction,2014
25,Chandelier,Sia,2014
26,Black Widow,Iggy Azalea featuring Rita Ora,2014
27,Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2014
28,Latch,Disclosure featuring Sam Smith,2014
29,Maps,Maroon 5,2014
30,Loyal,Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,2014
31,Best Day of My Life,American Authors,2014
32,Habits (Stay High),Tove Lo,2014
33,Summer,Calvin Harris,2014
34,Boom Clap,Charli XCX,2014
35,Drunk in Love,Beyoncé featuring Jay-Z,2014
36,Anaconda,Nicki Minaj,2014
37,Break Free,Ariana Grande featuring Zedd,2014
38,Bailando,Enrique Iglesias featuring Descemer Bueno and Gente de Zona,2014
39,Burn,Ellie Goulding,2014
40,Wiggle,Jason Derulo featuring Snoop Dogg,2014
41,Rather Be,Clean Bandit featuring Jess Glynne,2014
42,Don't Tell 'Em,Jeremih featuring YG,2014
43,Show Me,Kid Ink featuring Chris Brown,2014
44,Wrecking Ball,Miley Cyrus,2014
45,Not a Bad Thing,Justin Timberlake,2014
46,Roar,Katy Perry,2014
47,Ain't It Fun,Paramore,2014
48,The Man,Aloe Blacc,2014
49,This Is How We Roll,Florida Georgia Line featuring Luke Bryan,2014
50,Classic,MKTO,2014
51,A Sky Full of Stars,Coldplay,2014
52,Don't,Ed Sheeran,2014
53,Na Na,Trey Songz,2014
54,Hot Boy,Bobby Shmurda,2014
55,"Hold On, We're Going Home",Drake featuring Majid Jordan,2014
56,Sing,Ed Sheeran,2014
57,Radioactive,Imagine Dragons,2014
58,My Hitta,YG featuring Jeezy and Rich Homie Quan,2014
59,Cool Kids,Echosmith,2014
60,Hey Brother,Avicii,2014
61,Trumpets,Jason Derulo,2014
62,Animals,Maroon 5,2014
63,Burnin' It Down,Jason Aldean,2014
64,Play It Again,Luke Bryan,2014
65,2 On,Tinashe featuring ScHoolboy Q,2014
66,Dirt,Florida Georgia Line,2014
67,Love Runs Out,OneRepublic,2014
68,Bottoms Up,Brantley Gilbert,2014
69,Shower,Becky G,2014
70,Me and My Broken Heart,Rixton,2014
71,Animals,Martin Garrix,2014
72,Lifestyle,Rich Gang featuring Young Thug and Rich Homie Quan,2014
73,American Kids,Kenny Chesney,2014
74,Brave,Sara Bareilles,2014
75,Sweater Weather,The Neighbourhood,2014
76,Leave the Night On,Sam Hunt,2014
77,New Flame,Chris Brown featuring Usher and Rick Ross,2014
78,Love Never Felt So Good,Michael Jackson and Justin Timberlake,2014
79,Drunk on a Plane,Dierks Bentley,2014
80,Birthday,Katy Perry,2014
81,Bartender,Lady Antebellum,2014
82,La La La,Naughty Boy featuring Sam Smith,2014
83,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams,2014
84,Do What U Want,Lady Gaga featuring R. Kelly,2014
85,Can't Remember to Forget You,Shakira featuring Rihanna,2014
86,Amnesia,5 Seconds of Summer,2014
87,No Mediocre,T.I. featuring Iggy Azalea,2014
88,Come with Me Now,KONGOS,2014
89,Believe Me,Lil Wayne featuring Drake,2014
90,23,"Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",2014
91,Beachin',Jake Owen,2014
92,White Walls,Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,2014
93,She Looks So Perfect,5 Seconds of Summer,2014
94,Stay the Night,Zedd featuring Hayley Williams,2014
95,Partition,Beyoncé,2014
96,Studio,ScHoolboy Q featuring BJ the Chicago Kid,2014
97,0 to 100 / The Catch Up,Drake,2014
98,I Don't Dance,Lee Brice,2014
99,Somethin' Bad,Miranda Lambert and Carrie Underwood,2014
100,Adore You,Miley Cyrus,2014